trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",35,0,-121.03424706502665,"{0: 20, 1: 4, 2: 9, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-170.60562489775458,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-60.090823233039714,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-142.90044649100122,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,7,-128.84161185424944,"{0: 6, 1: 0, 2: 4, 3: 1, 4: 2}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-148.08425628947103,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-116.29699718099187,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-80.3223496244959,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-134.6845752378803,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-176.1989540150925,"{0: 13, 1: 2, 2: 0, 3: 1, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-9.562049428135381,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-13.00651356121358,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-24.84423414913116,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,5,-18.848107610538598,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-132.39873871924416,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-101.12922438387314,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-51.188883512645795,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-90.68495588973535,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-94.77562836599716,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-42.32860637623491,"{0: 21, 1: 2, 2: 0, 3: 1, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,0,24.5336199142823,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,0,25.487389783549943,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,10,11.091293713769833,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,0,-39.31755506973625,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,0,7.159962137371576,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,23.935906535720164,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,0,17.65870542280097,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,0,-2.615749749944392,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,-17.646441280567185,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",25,0,-48.78513545455877,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
