trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.498, 'e': 0.98}",20,9,-59.42992488549709,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 1}",1
2,False,"{'a': 0.496, 'e': 0.9603999999999999}",20,0,-134.71743549140888,"{0: 10, 1: 3, 2: 3, 3: 3, 4: 1}",0
3,False,"{'a': 0.494, 'e': 0.9411919999999999}",25,17,3.345595148874195,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
4,False,"{'a': 0.492, 'e': 0.9223681599999999}",25,0,-164.4087176722882,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 3}",0
5,False,"{'a': 0.49, 'e': 0.9039207967999999}",20,0,-28.241305564153624,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
6,False,"{'a': 0.488, 'e': 0.8858423808639999}",30,0,-130.61401333564888,"{0: 19, 1: 2, 2: 6, 3: 2, 4: 1}",0
7,False,"{'a': 0.486, 'e': 0.8681255332467199}",20,0,-48.276619114915675,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
8,False,"{'a': 0.484, 'e': 0.8507630225817855}",25,7,-58.42749906808332,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 1}",1
9,False,"{'a': 0.482, 'e': 0.8337477621301498}",30,0,-99.48963677120105,"{0: 21, 1: 3, 2: 3, 3: 2, 4: 1}",0
10,False,"{'a': 0.48, 'e': 0.8170728068875467}",20,0,-43.71853975520367,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
11,False,"{'a': 0.478, 'e': 0.8007313507497958}",35,0,-256.51183057577805,"{0: 17, 1: 3, 2: 10, 3: 2, 4: 3}",0
12,False,"{'a': 0.476, 'e': 0.7847167237347998}",25,0,-72.9019965694514,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
13,False,"{'a': 0.474, 'e': 0.7690223892601038}",25,0,-37.97888179771714,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
14,False,"{'a': 0.472, 'e': 0.7536419414749017}",25,0,-127.9264743704804,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
15,False,"{'a': 0.47, 'e': 0.7385691026454038}",35,0,-236.64154919458394,"{0: 23, 1: 2, 2: 4, 3: 1, 4: 5}",0
16,False,"{'a': 0.46799999999999997, 'e': 0.7237977205924956}",20,0,-125.66250724158651,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
17,False,"{'a': 0.46599999999999997, 'e': 0.7093217661806457}",25,0,-62.614799386345545,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
18,False,"{'a': 0.46399999999999997, 'e': 0.6951353308570327}",35,0,-130.59837963893287,"{0: 24, 1: 1, 2: 7, 3: 2, 4: 1}",0
19,False,"{'a': 0.46199999999999997, 'e': 0.6812326242398921}",30,4,-81.74519989167109,"{0: 17, 1: 1, 2: 6, 3: 2, 4: 0}",1
