trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-123.22811937152755,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-143.01964589041665,"{0: 8, 1: 5, 2: 3, 3: 3, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-25.418114273645344,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-191.5064977417149,"{0: 16, 1: 3, 2: 7, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-179.67877460621102,"{0: 15, 1: 4, 2: 6, 3: 4, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-63.019798838425615,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-198.47400622524012,"{0: 8, 1: 3, 2: 5, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-150.0201893596289,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,6,-76.23336830718017,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 1}",1
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.54181380863389,"{0: 11, 1: 5, 2: 1, 3: 2, 4: 1}",1
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-139.46175320014333,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-38.50731812251086,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.39466617278043,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-194.4490651447105,"{0: 16, 1: 1, 2: 3, 3: 1, 4: 4}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-60.17999388975656,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",35,0,-172.10381796377794,"{0: 23, 1: 3, 2: 6, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-151.70497187031123,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,15,5.843778753487979,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-149.14930360733553,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-72.65976634771567,"{0: 8, 1: 7, 2: 5, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-99.48008024888188,"{0: 16, 1: 4, 2: 2, 3: 2, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-115.6405638742645,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-103.64311796330743,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-145.5987738239404,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,7,-105.4187503924407,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 2}",1
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-56.15825111450419,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-126.87885452824594,"{0: 18, 1: 7, 2: 3, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-227.83923702831663,"{0: 9, 1: 5, 2: 7, 3: 1, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-112.74677452770666,"{0: 8, 1: 4, 2: 6, 3: 2, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",35,0,-231.13692634116725,"{0: 19, 1: 5, 2: 5, 3: 3, 4: 3}",0
